譯文ID	作業ID	原文ID	原文對話序號	語言別	內容
126	94	1	18	en-US	1. You have the right to remain silent and do not have to make any statement against your will.
127	94	1	19	en-US	2. You have the right to a lawyer. If you come from a low-income family, a medium-and-low-income family, or if you are an aborigine or meet other qualifications set by the law, you may ask the court for legal assistance.
128	94	1	20	en-US	3. You have the right to ask the court to investigate any evidence which may help you with your case.
129	94	1	21	en-US	Do you fully understand your rights?
130	94	1	22	en-US	Yes, I understand.
131	94	1	23	en-US	Plaintiff name please
132	94	1	24	en-US	Xiao Qian Chen
133	94	1	25	en-US	Your ID number
134	94	1	26	en-US	h228489212
135	94	1	27	en-US	Your mailing Address
136	94	1	28	en-US	fifth floor, room number four, Xuei fu road, number 132, San Xia district, new taipei city.
137	94	1	29	en-US	On May twenty seventh, 2013, Mr. Anderson took Chen Xiao Qian’s umbrella in the Yingge ceramic museum. This incident happened when it is not informed Xiao Qian Chen. When  you tried to returned the umbrella, you were caught by Xiao Qian Chen. Therefore, she filed the case. Today procedure is to investigate what happened that day. Please answer my questions to help the court understand what happened that day.And after that, we’ll ask plaintiff what was happening on that day,do both party understand?
138	94	1	30	zh-TW	是,我了解
139	94	1	31	en-US	Yes I understand
140	94	1	32	en-US	So defendant, what are you doing on 4:15 pm, May twenty seven, 2014?
141	94	1	33	zh-TW	我那時是在鶯歌陶瓷博物館。
142	94	1	34	en-US	Did you see plaintiff xiao qian Chen?
143	94	1	35	zh-TW	對，當我把傘放回傘架的時候，陳小姐在那邊。
144	94	1	36	en-US	What happened?
145	94	1	37	zh-TW	他對我大吼，然後說我偷了他的雨傘。我試著跟他解釋說，我一定是不小心拿錯的。我並沒有去偷他的傘，我嘗試跟他解釋，但他不肯聽。
146	94	1	38	en-US	So why Miss Chen said you steal her umbrella?
147	94	1	39	zh-TW	那天我和我的同學去鶯歌陶瓷博物館參觀一個展覽。到我們結束參觀的時候，我的兩個同學說他們餓了。所以我們就到外面找食物吃，然後順便找找哪裡可以吃晚餐。當我在博物館裡的時候，我就發現外面正在下大雨了。因為我沒有帶傘，所以我就跟我同學借一把傘。因為我身形有點大，所以我決定從我朋友艾登那邊借了一支傘。他的身形跟我比較像。所以我就從傘架拿走一隻傘。然後我就去買一些麵包給我的教授和我的朋友。當我們回來的時候，陳小姐就開始對我們大吼。
148	94	1	40	en-US	You mean that the umbrella you borrowed belong to your friend, Adam?
149	94	1	41	zh-TW	對，我那個時候是拿艾登的傘，我並沒有意圖想拿別人的傘。
150	94	1	42	en-US	So do you remember what kind of umbrella you took that day?the color and the shape?
151	94	1	43	zh-TW	我記得那個顏色，那個顏色是藍色的，而且整支傘看起來沒有很新。
152	94	1	44	en-US	Was the whole umbrella blue?
153	94	1	45	zh-TW	如果我沒記錯的話，那應該整支都是藍色的。
154	94	1	46	en-US	Can anyone proved what you said?
155	94	1	47	zh-TW	對，當我從博物館出來的時候，我的教授和我另外兩個同學可以幫我作證。我的教授甚至要借我他的雨傘。因為他的雨傘有點小，所以我沒有跟他借。我不想要讓他淋濕，況且其他兩個同學都在。
156	94	1	48	en-US	So all of them can come to the court and verified what you said, right?
157	94	1	49	zh-TW	我想是吧。
158	94	1	50	en-US	Is there any evidence that you want the court to investigate?
159	94	1	51	zh-TW	我試著嘗試跟陳小姐解釋說我沒有要偷傘，但是他不肯聽。我也試著跟他道歉但他就是不肯接收。或許我的教授和我兩個同學可以證實我講的話是真的。
160	94	1	52	en-US	Ok now I am going to questioning Miss Chen what happened that day.Miss Chen, can you elaborate what happened that day?
161	94	1	53	en-US	I went to Yingge ceramic museum that day.When I entered the museum, I put my umbrella on the umbrella rack.But when I came out, I found my umbrella was disappeared. I asked for the staffs in the museum to help me to find my umbrella.But when I came out the museum, I found a foreigner took my umbrella, and umbrella was in his hand. When I found that my umbrella was taken by that foreigner, I was very angry. So I yelled him, asked him why he took my umbrella. Didn’t him know that it was raining out there? How can……..
162	94	1	54	en-US	Can you tell me what kind of umbrella you brought that day? Is there any feature?Like shape and color?
163	94	1	55	en-US	The umbrella I took that day was blue, deep blue one.
164	94	1	56	en-US	Please see the investigate file, is that umbrella in the picture belongs to you?
165	94	1	57	en-US	Yes.
166	94	1	58	en-US	Actually,this kind of umbrella is quite common,you can be bought this kind of umbrella in many convenient stores like 7-11.How can you proved that it is belong to you?
167	94	1	59	en-US	Yes, I bought that umbrella in a 7-11. But there is a little problem on the button of the umbrella, so it can not be locked. At this point, when I filed the case to police,I have explain for them. The umbrella that foreigner put back have the same feature. So I pretty sure that it was my umbrella.
168	94	1	60	en-US	If defendant apologize,and want to reconcile…settle…..with him..
169	94	1	61	en-US	What do you mean it just an umbrella? It’s not only about an umbrella, it’s about…If him didn’t put back the umbrella, I may have to go back home without umbrella, and it’s raining. I don’t want to forgive hime.
170	94	1	62	en-US	Okay, I understand. So we will subpoena all of the three witness and defendant to the court.The next court will be on 3 pm, June nineteenth, 2014.All of the witness and defendant should have to come to the court. Do you understand, defendant?
171	94	1	63	zh-TW	是，我會準時到場。
172	94	1	64	en-US	Miss Chen, the next court, you may come or not to come to the court.Basically we are going to questioning the witness, which are his classmate, and his professor.So you may choose to come or not to come.
173	94	1	65	en-US	No,that mean i have to take one day off.
174	94	1	66	en-US	Okay, I understand. Today court dismiss. Please sign the file and you may leave the court.
175	102	1	1	en-US	Today we are here for the investigatory case, stealing case. Case number 1425
176	102	1	10	en-US	I am here today for stealing case, Case Number 1425 as an interpreter. I promise to faithfully and honestly translate/interpret what is stated in this court. In the case of deliberately making false interpretation, the violation of perjury will apply.
177	102	1	11	en-US	null
178	102	1	12	zh-TW	保羅安德森
179	102	1	13	en-US	null
180	102	1	14	en-US	AC44432189
181	102	1	15	en-US	null
182	102	1	16	zh-TW	台北市和平東路一段52號
183	102	1	17	en-US	 now I am going to tell you your rights and obligations.
184	102	1	18	en-US	1. You have the right to remain silent and do not have to make any statement against your will.
185	102	1	19	en-US	2. You have the right to a lawyer. If you come from a low-income family, a medium-and-low-income family, or if you are an aborigine or meet other qualifications set by the law, you may ask the court for legal assistance.
186	102	1	20	en-US	3. You have the right to ask the court to investigate any evidence which may help you with your case.
187	102	1	21	en-US	Do you fully understand your rights?
188	102	1	22	zh-TW	我了解
189	102	1	23	en-US	null
190	102	1	24	en-US	Chen Hsao Chen
191	102	1	25	en-US	null
192	102	1	26	en-US	H228489212
193	102	1	27	en-US	null
194	102	1	28	en-US	5F of number 4, Number 132, Hsua Fu Road, Shan Hsai District, New Taipei City
195	102	1	29	en-US	The defendant was suited because on May 27th in 2014 he took the plaintiff, Chen Hsao Cheng, ‘s umbrella at the Yinge ceramics museum. This happened under the situation that the plaintiff didn’t know about this. when you tried to return the umbrella, the plaintiff, Chen Hsao Cheng found this. Therefore, she filed the case. The purpose today is to understand what happened that day. Please answer the question I ask so that the prosecutor could understand what happened that day, do you understand? And later I will ask the plaintiff to elaborate the situation that day. Do both parties understand?
196	102	1	30	zh-TW	我了解
197	102	1	31	en-US	I understand.
198	102	1	32	en-US	null
199	102	1	33	zh-TW	我當時在鶯歌陶瓷博物館
200	102	1	34	en-US	Did you see the plaintiss, Ms. Chen?
201	102	1	35	zh-TW	有,當我把散放回去的時候,他在那邊
202	102	1	36	en-US	What happened then?
203	102	1	37	zh-TW	他對我大吼大叫說我偷他的傘,我試著跟她說我拿錯了 我並沒有偷傘 我試著跟他道歉 但是她不肯聽
204	102	1	38	en-US	Then why would she say that you stole her umbrella?
205	102	1	39	zh-TW	那天我跟我朋友去那邊看展,當我們看完的時候 我兩個同學說他們餓了 所以我們就決定去買點東西吃 找地方吃晚餐 當我離開博物館的時候 發現外面下雨了 我沒有帶傘 所以我就打算跟我朋友亞當借傘 我身形比較巨大 他的身形跟我的比較像 所以我打算跟他借傘 我跟我教授還有兩個同學去買麵包 我們回來的時候 陳小姐就開始對我大吼
206	102	1	40	en-US	You mean the umbrella you borrow was your friend, Adam’s umbrella?
207	102	1	41	zh-TW	對 我以為那是亞當的傘 我並沒有想偷傘
208	102	1	42	en-US	Do you remember the umbrella you took that day, what’s the color and shape?
209	102	1	43	zh-TW	我只記得顏色 是藍色的 傘不新
210	102	1	44	en-US	The whole umbrella was blue?
211	102	1	45	zh-TW	我記得是藍色的
212	102	1	46	en-US	Can anyone verify your words?
213	102	1	47	zh-TW	有 我是跟我教授還有兩個同學一起去出博物館的 我的教授甚至說要借我傘 但是因為他的傘很小 我就沒有跟她借 我不想讓她淋濕 還有其他兩個同學也在那
214	102	1	48	en-US	So the three people you mentioned can come to the court to verify your words, right?
215	102	1	49	zh-TW	我想應該可以
216	102	1	50	en-US	Is there any evidence you want the court to investigate for you?
217	102	1	51	zh-TW	我試著要把傘回給她 但是她不拿  我試著跟他道歉 她也不聽 我想我的教授跟兩個同學可以證明我說的是真的
218	102	1	52	en-US	Okay, now I am going to ask Ms. Chen the situation that day.  Ms. Chen, can you tell me what happened that day?
219	102	1	53	en-US	I went to Yinge ceramics museum that day, and it was raining. When I enter the museum, I put my umbrella in the umbrella rack out there. When I came out, my umbrella was missing. I asked the staff of the museum to find the umbrella for me, and then I found out that the foreigner took my umbrella. When I found out that the umbrella he took was my missing one, I was really angry and inquired him for the reason. Didn’t he know it was raining out there? How could he do that?
220	102	1	54	en-US	Can you tell me what’s the color of the umbrella you took that day? Is there any characteristic?
221	102	1	55	en-US	The umbrella I brought was blue, I think it’s dark blue.
222	102	1	56	en-US	Please check the investigatory evidence of page five. Can you tell me the umbrella in the picture, is that yours?
223	102	1	57	en-US	Yes, it’s mine.
224	102	1	58	en-US	The umbrella in the picture is a really normal one, which you can buy at 7-11 everywhere. How can you be sure that was yours?
225	102	1	59	en-US	Indeed, I bought that umbrella at 7-11. But the button of my umbrella was a little bit broken, so it couldn’t be buckled up. I explained this to the police when I called them. The one the foreigner put back had the same situation, from this, I could tell that was my umbrella.
226	102	1	60	en-US	If he is regretful and willing to apologize, is it possible that you could forgive him? After all, it’s just an umbrella.
227	102	1	61	en-US	What do you mean by “just an umbrella?” it’s about a person’s virtue. If he didn’t take back that day, didn’t I have to go home in the rain? I don’t want to forgive him.
228	102	1	62	en-US	I understand. Then we will subpoena the three people the defendant mentioned and ask them to tell the situation that day. The next court date is at 3 pm on June 19th in 2014, and the defendant and the three witnesses have to come to the court. Defendant, is the time okay for you?
229	102	1	63	zh-TW	是的我會到
230	102	1	64	en-US	Ms. Chen, you can choose to attend the next court or not. Basically we are going to inquiry some questions to the defendant’s classmates and professor. But if you want to come, it’s okay.
231	102	1	65	en-US	No, I would have to take a day off.
232	102	1	66	en-US	I understand. Then today’s court ends here. Please sign on the record before you leave.
233	110	1	1	en-US	Today we are here for the investigation procedure of stealing case, case number 1425.
234	110	1	10	en-US	null
235	110	1	11	en-US	Your name, please?
236	110	1	12	zh-TW	 保羅安德森
237	110	1	13	en-US	Your passport number? 
238	110	1	14	en-US	AC44432189
239	110	1	15	en-US	Your mailing address?
240	110	1	16	zh-TW	 台北市和平東路一段52號
241	110	1	17	en-US	Now I’m going to inform your rights and obligations
242	110	1	18	en-US	You have the right to remain silent and do not have to make any statement against your will.
243	110	1	19	en-US	You have the right to a lawyer.  If you come from a low-income family, a medium-and-low-income family, or if you are an aborigine or meet other qualifications set by the law, you may ask the court for legal assistance.
244	110	1	20	en-US	You have the right to ask the court to investigate any evidence which may help you with your case.
245	110	1	21	en-US	Do you fully understand your rights?
246	110	1	22	zh-TW	是的我知道了
247	110	1	23	en-US	Your name please?
248	110	1	24	en-US	Shiao-chien Chen
249	110	1	25	en-US	Your ID number?
250	110	1	26	en-US	H228489212
251	110	1	27	en-US	Your mailing address?
252	110	1	28	en-US	Fl. 5-4, No. 132, Xue-fu Rd., Sanxia Dist., New Taipei City.
253	110	1	29	en-US	Defendant was stealing the plaintiff’s, Shiao-chien Chen’s umbrella on March 27th, 2014 when visiting Yinge Ceramics Museum. This incident happened without Miss Chen’s knowing. When you were going to turn back the umbrella, Shiao-chien Chen found that you took her umbrella. Therefore, she files the lawsuit. Today we are here for the procedure to know what happened that day. Please answer my questions to help the prosecutor make clear the whole case. Later I will ask questions to the plaintiff, do both of you understand the procedure?
254	110	1	30	zh-TW	我知道了
255	110	1	31	en-US	I understand.
256	110	1	32	en-US	Defendant, where were you at 4:15 PM, March 27th, 2014?
257	110	1	33	zh-TW	我當時在鶯歌陶瓷博物館
258	110	1	34	en-US	Did you see Miss Chen?
259	110	1	35	zh-TW	是的當我把散放回去傘架時 陳小姐就在旁邊
260	110	1	36	en-US	What happened then?
261	110	1	37	zh-TW	她對我大吼我偷了她的傘 我試著告訴她我一定是拿錯傘了 我真的沒有偷她傘啊我試著跟她道歉但她不聽我說。
262	110	1	38	en-US	But why she accused that you stole her umbrella?
263	110	1	39	zh-TW	那天我和我一些同學去陶瓷博物館看展覽 我和我同學看完展覽之後 覺得餓了 所以我們決定出去找個地方吃東西 吃晚餐 當我們離開博物館時我發現下雨了 我沒有帶傘所以我想說可以跟同學借把傘 因為我人比較高比較大隻 所以想跟同學亞當借傘 他的身型跟我差不多 然後我從傘架拿了一把傘 我去買了一些麵包給教授和朋友 當我回去之後陳小姐開始對我大吼
264	110	1	40	en-US	You mean the umbrella you borrowed was your friend’s, Adan’s?
265	110	1	41	zh-TW	是的我真的以為那把傘是亞當的我真的沒有要拿別人的傘
266	110	1	42	en-US	Do you remember what color and what shape of the umbrella you took that day?
267	110	1	43	zh-TW	我只記得那把傘是藍色的而且沒有很新
268	110	1	44	en-US	So the whole umbrella is blue?
269	110	1	45	zh-TW	在我印象中 是藍色的
270	110	1	46	en-US	Can anyone prove that you told is true?
271	110	1	47	zh-TW	 可以啊我從博物館出來時我的教授跟其他同學都跟我在一起的 我的教授甚至想借我他的傘 但他的傘對我而言有點太小了 我不想讓他淋濕而且還有另外兩個同學
272	110	1	48	en-US	So they three can prove that what you just told is true, right?
273	110	1	49	zh-TW	我想是吧
274	110	1	50	en-US	 Is there any evidence that you want the court to investigate for you?
275	110	1	51	zh-TW	 我試著想把傘還給陳小姐但她不拿 我也試著想要道歉但她也不接受 或許我的教授和同學能證明我剛剛說的都是真的
276	110	1	52	en-US	 Okay, now I’m going to ask Miss Chen what happened that day. Miss Chen, can you tell me what happened that day?
277	110	1	53	en-US	 I went to Yingge Ceramics Museum and it was raining. When I enter the museum, I put my umbrella into the umbrella rack. When I was out, I noticed that my umbrella was gone. I ask the museum to help me find my umbrella then I saw the foreigner put my umbrella back. It was the umbrella I lost. I was so angry that I ask him why he took my umbrella. Didn’t he notice that was raining outside? Why he was so lack of morality?
278	110	1	54	en-US	Can you tell me what color you brought that day? Any specific charateristics?
279	110	1	55	en-US	The umbrella I brought was blue, deep blue, I think.
280	110	1	56	en-US	The evidence one, picture on page five. Is that your umbrella in the picture?
281	110	1	57	en-US	Yes, that is mine.
282	110	1	58	en-US	 The umbrella in the picture is common in 7-11. Why can you sure that was your umbrella?
283	110	1	59	en-US	Indeed, I bought my umbrella at 7-11. But there is some broke at the button so that I can recognize that was my umbrella. Also I told the police as the explanation. The umbrella which the foreigner put back had the same feature so I was sure that was my umbrella.
284	110	1	60	en-US	So can you tell me if he is regret and willing to apologize, is there any possible to forgive him? Because it is just an umbrella?
285	110	1	61	en-US	 What do you mean “it is just an umbrella?” It is about morality issue. If he didn’t put back the umbrella, should I have to get wet home? I don’t want to forgive him.
286	110	1	62	en-US	 Okay, I understand. We will subpoena to the three people that defendant just mentioned to clarify what defendant said is true or not. The next court date will be set at 3 PM, June 19th, 2014. Defendant and the other three people should show up. Defendant, is that fine with you?
287	110	1	63	zh-TW	是的我會出席
288	110	1	64	en-US	 Plaintiff, Miss Chen, you don’t have to come to the next court. Basically, we will ask some questions to defendant’s classmates and professor. If you want to come, it is welcome.
289	110	1	65	en-US	No. I don’t want to take a one day off.
290	110	1	66	en-US	I understand. Today’s court dismissed. Please sign on the statement before you leave.
